Item_id,Category,Item_Name,Price,description,image,available,image_width,image_height,image_size_kb
168,Snacks,Maggie Goreng Pattaya,,"evening, night",https://i.pinimg.com/564x/83/f1/dd/83f1dd7455ff0492a71ba310b46e0d62.jpg,True,480,360,39.0
169,Lunch,Chicken Rendang,,"noon, night",https://ts1.mm.bing.net/th?id=OIP.tA9oesSuZ9yXkABRRqWZkAHaHa&pid=15.1,True,474,474,54.6
170,Lunch,Beef Rendang,,"noon, night",https://seniorsatwork.nz/files/pictures/Beef-Rendang-square-FS-28.jpg,True,700,700,148.1
171,Lunch,Ayam Penyet,,"noon, night",https://thegorbalsla.com/wp-content/uploads/2019/05/Resep-Ayam-Penyet-1.jpg,True,1440,800,139.1
172,Lunch,Ikan Penyet,,"noon, night",https://ts2.mm.bing.net/th?id=OIP.HS4CpNC8z-oBwdvuTBizKwAAAA&pid=15.1,True,400,400,43.4
173,Lunch,Sambal Sotong,,"noon, night",https://www.keyingredient.com/media/8d/6e/327dac9a281c6b51ce3bb7bfe574aa628087.jpg/rh/squid-sambal-sotong-squid-cooked-in-chilli-paste.jpg,True,454,454,30.2
174,Lunch,Char Kway Teow,,"noon, evening",https://images.travelandleisureasia.com/wp-content/uploads/sites/4/2023/01/30155103/hill-street-char-kway-teow-credit-tsubasa-tan-instagram-455x455.jpeg,True,455,455,45.8
175,Snacks,Chicken Roll,,"evening, night",https://www.recipedose.com/wp-content/uploads/2009/06/chickenroll.jpg,True,400,387,56.2
176,Snacks,Egg Roll,,"evening, night",https://ts1.mm.bing.net/th?id=OIP._8G2nLKyaumSASLxEynH2AAAAA&pid=15.1,True,474,474,37.4
177,Snacks,Murtabak Chicken,,"evening, night",https://ts4.mm.bing.net/th?id=OIP.3Ep785LM-a3KOxtdz-_spQAAAA&pid=15.1,True,400,400,34.2
178,Snacks,Murtabak Mutton,,"evening, night",https://ts1.mm.bing.net/th?id=OIP.FG8i939MDofU61xlrIStagAAAA&pid=15.1,True,400,400,61.2
179,Snacks,Roti John Chicken,,"evening, night",https://ts1.mm.bing.net/th?id=OIP.QVbDP3vyJuC3NnJeVF3MtwAAAA&pid=15.1,True,400,400,61.6
180,Snacks,Roti John Mutton,,"evening, night",https://ts4.mm.bing.net/th?id=OIP.SxEgKKUUEYuYQQMOcSTYywAAAA&pid=15.1,True,400,400,59.7
181,Snacks,Satay Chicken,,"evening, night",https://photos.bigoven.com/recipe/hero/chicken-satay-24.jpg?h=500&w=500,True,480,480,80.3
182,Snacks,Satay Mutton,,"evening, night",https://ts1.mm.bing.net/th?id=OIP.qM6oqxCchinxVxaANTN7CwAAAA&pid=15.1,True,474,474,55.1
183,Snacks,Masala Fries,,evening,https://www.topairfryerrecipes.com/wp-content/uploads/2022/05/crunchy-air-fryer-masala-fries-360x450.png,True,360,450,299.4
184,Snacks,Spicy Chicken Popcorn,,evening,https://i.ytimg.com/vi/Ar05QOjdaI8/hqdefault.jpg,True,480,360,51.2
185,Snacks,Cheese Fries,,evening,"https://hips.hearstapps.com/hmg-prod/images/cheese-fries-recipe-1-1674497819.jpg?crop=1xw:1xh;center,top&resize=640:*",True,640,640,101.3
186,Drinks,Teh Tarik Halia,,anytime,https://down-sg.img.susercontent.com/file/sg-11134201-22120-42ci5swkiwkve7,True,441,441,42.2
187,Drinks,Masala Chai,,anytime,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/masala-chai-horizontal-2-jpg-1598453328.jpg?crop=0.605xw:0.908xh;0.143xw,0&resize=480:*",True,480,480,34.0
188,Drinks,Milo Dinosaur,,anytime,https://thecinnamonjar.com/wp-content/uploads/2024/01/Milo-dinosaur-15-of-3-360x360.jpg,True,360,360,28.6
189,Drinks,Ice Bandung,,anytime,https://minang.sg/wp-content/uploads/2024/01/ICE-BANDUNG-300x300.jpg,True,300,300,27.8
190,Drinks,Thai Milk Tea,,anytime,https://www.tastythais.com/wp-content/uploads/2019/12/thai-ice-tea-with-boba-423x423.jpg,True,423,423,22.2
191,Drinks,Ice Kopi Penguin,,anytime,https://ts1.mm.bing.net/th?id=OIP.y6FjEpMU8nVkWeUCS3Ov5AHaGm&pid=15.1,True,474,422,33.9
192,Drinks,Ice Jelly Lime,,anytime,https://2.bp.blogspot.com/-W4ZyPHWS7nE/VcKmO2QOBII/AAAAAAAAH2s/8EwjtGrlivk/s400/IMG_20150802_131106.jpg,True,400,400,55.3
193,Lunch,Nasi Goreng Kampung,,"noon, evening",https://www.ajinomoto.com.my/sites/default/files/styles/news_thumbnail/public/content/recipe/image/2021-03/Nasi-Goreng-kampung_0.png?itok=3Pjtb-FZ,True,450,471,342.4
194,Lunch,Nasi Goreng USA,,"noon, evening",https://i.pinimg.com/564x/3c/62/ff/3c62ffd376f16523b8512bd6d84b38fb.jpg,True,480,360,27.7
195,Lunch,Nasi Ayam,,noon,https://ts3.mm.bing.net/th?id=OIP.CibIA2KZoxn6WiN8qGp9SwAAAA&pid=15.1,True,473,452,45.8
196,Lunch,Mee Bandung Muar,,noon,https://4.bp.blogspot.com/-T-nfl-iYpdA/WAR20CRIwjI/AAAAAAAAAf0/lP84xaPV9oMdiZTPRiGgMsy_LgdI5iCgQCLcB/s1600/60.PNG,True,466,300,275.7
197,Lunch,Laksa Johor,,noon,https://ts1.mm.bing.net/th?id=OIP.JMh-1ZxGyUEwxyvagD6jRwAAAA&pid=15.1,True,474,474,60.7
198,Breakfast,Roti Canai Telur Bawang,,morning,https://1.bp.blogspot.com/-GkKY_ZCYQ10/Xki1M3le65I/AAAAAAABZZE/BPT1Bg3voncjL8BhFzW-65wNVFBGdqXfQCEwYBhgL/s400/IMG-20200214-WA0001.jpg,True,399,400,64.4
199,Lunch,Chicken Varuval,,"noon, night",https://tasteasianfood.com/wp-content/uploads/2018/05/chicken-varuval-1-480x480.jpg,True,480,480,57.9
200,Lunch,Spicy Sambal Prawn,,"noon, night",https://media.istockphoto.com/id/1330164554/photo/spicy-sambal-prawn-malay-food.jpg?s=170667a&w=0&k=20&c=1e6zJ6kh2TxWgzdSoIQzDDz1ub0slI1_FS9qZ1TLjqk=,True,359,479,114.2
201,Lunch,Ayam Masak Merah,,"noon, night",https://ts2.mm.bing.net/th?id=OIP.XQkcWrgJFSAwZj9x_GZ8WAAAAA&pid=15.1,True,474,474,36.5
202,Lunch,Telur Itik Masala,,"noon, night",https://i0.wp.com/i0.wp.com/babab.net/img/resepi-kari-telur.jpg,True,400,400,31.0
203,Dinner,Cheese Naan,,"evening, night",https://ts3.mm.bing.net/th?id=OIP.xSdwis3YVohTvs022gKJgQAAAA&pid=15.1,True,474,474,81.6
204,Dinner,Garlic Naan,,"evening, night",https://www.sprinklesandsprouts.com/wp-content/uploads/2019/03/Simple-Garlic-Naan-2.jpg,True,650,614,61.1
205,Dinner,Tandoori Chicken Set,,"evening, night",https://ts1.mm.bing.net/th?id=OIP.5zCEpsz0uhmPNI-bth-CyAAAAA&pid=15.1,True,450,400,33.5
206,Lunch,Kari Kambing,,"noon, night",https://www.eresep.com/media/images/resep/2020/11/18/6720-Kari Kambing.jpg.1000x650_q85.jpg,True,400,400,53.1
207,Lunch,Kari Kepala Ikan,,"noon, night",https://seafoodbatam.com/wp-content/uploads/2022/03/kari-kepala-ikan.jpeg,True,474,400,75.0
208,Dinner,Kambing Soup,,"evening, night",https://tasteasianfood.com/wp-content/uploads/2022/11/Sup-Kambing-recipe-square-480x480.jpeg,True,480,480,63.0
209,Snacks,Murtabak Cheese,,"evening, night",https://media.istockphoto.com/id/1283516606/photo/murtabak-cheese.jpg?s=170667a&w=0&k=20&c=HXXgtDtY3kaSW8Dhff0mtHb4ysi96cgZEmfCWtwZB_k=,True,444,389,86.3
210,Snacks,Tosai Tissue,,"morning, evening",https://4.bp.blogspot.com/_OTkUQ94eCQ8/S9e1vIc_3lI/AAAAAAAACok/irxWmEFR3C0/s320/thosai+2+copy.jpg,True,319,320,33.0
211,Dessert,ABC Ice Kacang,,anytime,https://content.instructables.com/ORIG/F1T/WFS1/HELX6YRC/F1TWFS1HELX6YRC.jpg?frame=1,True,450,484,43.8
212,Dessert,Cendol,,anytime,https://media.istockphoto.com/id/1385857284/photo/delicious-food-named-cendol-popular-in-malaysia.jpg?s=170667a&w=0&k=20&c=SsSE4wolqOgmQKBs9r89mqLTHKWeKcsV3wxuDbzudUA=,True,359,479,114.7
213,Drinks,Milo Godzilla,,anytime,https://ts4.mm.bing.net/th?id=OIP.o6v8cuj7T6PEwjdgD34Y0AAAAA&pid=15.1,True,400,400,27.6
214,Drinks,Bandung Soda,,anytime,https://i.pinimg.com/originals/fb/79/d6/fb79d67f2c281e04fd2428c4c1dacd7c.jpg,True,480,480,37.8
215,Drinks,Kopi Cham,,anytime,https://shop.zuscoffee.com/cdn/shop/files/Ngupi_KopiCham.png?v=1743747580&width=400,True,400,483,249.1
